name,frequency,main_match,description,potenial_matches
awesome,1,,,set()
myocarditis,1,,,set()
vaccine death,1,,,set()
mao,1,,,set()
great historical tesla eugenic article,1,,,set()
fauci,1,,,set()
hitler,1,,,set()
important,1,,,set()
2012,1,,,set()
your great historical tesla eugenics article,1,,,set()
me,6,,,set()
ending,1,,,set()
putin,1,,,set()
operating coal plants,3,,,set()
new clean energy technology,3,,,set()
coal cost,3,,,set()
coal plant,3,,,set()
technology,3,,,set()
flat,3,,,set()
relative cost,3,,,set()
coal costs,3,,,set()
energy innovation policy,3,,,set()
energy innovation policy & technology,3,,,set()
new clean energy technologies,3,,,set()
cost,4,,,set()
renewable energy,3,,,set()
t,1,,,set()
it,28,,,set()
dominion,1,,,set()
5 years,1,,,set()
good book,1,,,set()
i,27,,,set()
year,5,,,set()
best book,1,,,set()
helpful review,1,,,set()
thank,4,,,set()
very helpful review - thanks,1,,,set()
book,1,,,set()
podcast,2,,,set()
sure,2,,,set()
excellent,1,,,set()
you,20,,,set()
bach,1,,,set()
true,2,,,set()
lololol,1,,,set()
perfect complement,1,,,set()
1491,1,,,set()
great,3,,,set()
cinema,1,,,set()
wretched culmination,1,,,set()
one,2,,,set()
all,1,,,set()
most wretched culminations,1,,,set()
fyi,1,,,set()
place,3,,,set()
mastodon,1,,,set()
active,1,,,set()
platform,1,,,set()
happy,2,,,set()
several other platforms,1,,,set()
people,7,,,set()
my quixotic crusade,1,,,set()
obvious choice,1,,,set()
how good rope,1,,,set()
just the illusion,1,,,set()
illusion,1,,,set()
single take,1,,,set()
good rope,1,,,set()
gimmick,1,,,set()
single,1,,,set()
conversation,1,,,set()
quixotic crusade,1,,,set()
game,1,,,set()
2,1,,,set()
our economy,1,,,set()
housing cost,1,,,set()
transportation costs,1,,,set()
price point,1,,,set()
right,2,,,set()
60 $ twenty years ago,1,,,set()
transportation cost,1,,,set()
games,2,,,set()
economy,1,,,set()
halo,1,,,set()
food price,1,,,set()
food prices,1,,,set()
only $ 25,1,,,set()
sure video game,1,,,set()
30 years ago,1,,,set()
sure video games,1,,,set()
they,6,,,set()
good thing,1,,,set()
inflation,1,,,set()
price,1,,,set()
line,1,,,set()
thing,1,,,set()
things,1,,,set()
this,7,,,set()
bad explainer,1,,,set()
colleague,1,,,set()
hero,1,,,set()
spoiler,1,,,set()
alex knapp,2,,,set()
who,3,,,set()
act ii,1,,,set()
our hero,1,,,set()
valued colleague,1,,,set()
assistance,2,,,set()
essence,1,,,set()
life,1,,,set()
fantastic job,1,,,set()
a fantastic job,1,,,set()
story,1,,,set()
upstream,1,,,set()
our story,1,,,set()
other party,1,,,set()
shortcut,1,,,set()
scheme,1,,,set()
relative,1,,,set()
that,6,,,set()
her,2,,,set()
b,1,,,set()
invest x amount,1,,,set()
y,1,,,set()
mine,1,,,set()
party,1,,,set()
someone,1,,,set()
two,1,,,set()
death,1,,,set()
funeral,1,,,set()
both,1,,,set()
two versions,1,,,set()
version,1,,,set()
not enough people,1,,,set()
1957 zorro series,1,,,set()
( good old vhs,1,,,set()
instant,1,,,set()
90s,1,,,set()
kid,1,,,set()
good old vhs,1,,,set()
late night,1,,,set()
zorro series,1,,,set()
instant re - wind rewatch,1,,,set()
1957,1,,,set()
wind rewatch,1,,,set()
disney channel tv,1,,,set()
late night disney channel tv,1,,,set()
90,1,,,set()
twitter users,1,,,set()
twitter user,1,,,set()
progressive,1,,,set()
twitter friend,1,,,set()
active understand,1,,,set()
my non twitter friends,1,,,set()
most progressives,1,,,set()
""" numbers",1,,,set()
which,3,,,set()
ticket election,1,,,set()
ultimate split,1,,,set()
midterm,1,,,set()
number,7,,,set()
what,3,,,set()
weird,1,,,set()
midterms,1,,,set()
argh,1,,,set()
moderate,1,,,set()
ultimate split - ticket election,1,,,set()
tweet,1,,,set()
how many tweets,1,,,set()
مهسا_امینی حسین_رونقی,1,,,set()
belle,1,,,set()
movie,1,,,set()
duet,1,,,set()
scrooge,1,,,set()
good scene,1,,,set()
so much emotional heft,1,,,set()
best scene,1,,,set()
emotional heft,1,,,set()
belle 's duet,1,,,set()
red heart red heart,1,,,set()
"at least 83,000",1,,,set()
what “ 116k,1,,,set()
homeless people,4,,,set()
los angeles county,1,,,set()
"at least 83,000 + homeless people",1,,,set()
116k,1,,,set()
flushed face,1,,,set()
considerations,1,,,set()
consideration,1,,,set()
notable factor,1,,,set()
experience,1,,,set()
a&f list,1,,,set()
my experience,1,,,set()
dynamic,1,,,set()
a&f,1,,,set()
smart,1,,,set()
him,2,,,set()
he,3,,,set()
his “ taxes pity party tour,1,,,set()
poor guy,1,,,set()
new financial adviser,1,,,set()
poor guy / gal,1,,,set()
gal,1,,,set()
musk,1,,,set()
taxis pity party tour,1,,,set()
convinced,1,,,set()
last year,1,,,set()
moon,1,,,set()
much more missions,1,,,set()
mission,1,,,set()
mit,1,,,set()
beginning,1,,,set()
bankruptcy,1,,,set()
my future,1,,,set()
future,1,,,set()
offshore accounts,1,,,set()
squirrel,1,,,set()
cash,1,,,set()
offshore account,1,,,set()
alex,2,,,set()
thanks,3,,,set()
twitter,1,,,set()
announcement,1,,,set()
google employee,1,,,set()
worth,1,,,set()
former twitter & google employee,1,,,set()
& google employee &,1,,,set()
announcement yesterday,1,,,set()
wait list,1,,,set()
yesterday,1,,,set()
witch,1,,,set()
kathy griffin,1,,,set()
100 %,1,,,set()
advance report,1,,,set()
nothing,2,,,set()
advance reports,1,,,set()
"less than 50,000",1,,,set()
follow - up smiling face,1,,,set()
yesss,1,,,set()
heart,1,,,set()
heart-eyes,1,,,set()
eye,1,,,set()
face,1,,,set()
we,4,,,set()
"ip , hbo",1,,,set()
ip,1,,,set()
rop ads,1,,,set()
rop ad,1,,,set()
hbo,1,,,set()
rop,1,,,set()
other countries,1,,,set()
j it,1,,,set()
germany,8,,,set()
country,1,,,set()
j,1,,,set()
european homeless,1,,,set()
homeless,3,,,set()
comfortable,1,,,set()
germans,1,,,set()
european,1,,,set()
she,1,,,set()
walensky,1,,,set()
vaccine,1,,,set()
well,3,,,set()
negative efficiency,1,,,set()
easy,1,,,set()
neighboring country,1,,,set()
services,1,,,set()
some,1,,,set()
service,1,,,set()
e.g. poland,1,,,set()
poland,1,,,set()
correct,1,,,set()
reason,1,,,set()
refugee,1,,,set()
reasons,1,,,set()
them,2,,,set()
refugees,1,,,set()
homelessness,1,,,set()
neighboring countries,1,,,set()
help,1,,,set()
lower - class citizens,1,,,set()
california,1,,,set()
social welfare,1,,,set()
post - apocalyptic streets,1,,,set()
class citizen,1,,,set()
western europe,1,,,set()
post,1,,,set()
apocalyptic street,1,,,set()
low,1,,,set()
san fran,1,,,set()
slum,1,,,set()
slums,1,,,set()
tent cities,1,,,set()
anything,1,,,set()
tent city,1,,,set()
oakland,1,,,set()
hard,1,,,set()
america,1,,,set()
unsheltered,2,,,set()
numbers,3,,,set()
right-,2,,,set()
ca,2,,,set()
116,2,,,set()
discussion,2,,,set()
k,2,,,set()
116 k,2,,,set()
"41,000",1,,,set()
2018,1,,,set()
streets,2,,,set()
permanent accommodation,2,,,set()
nationwide consortium,1,,,set()
street,3,,,set()
"678,000 people",1,,,set()
bag,1,,,set()
"650,000",1,,,set()
"678,000",1,,,set()
germany 's bag,1,,,set()
2017,1,,,set()
bit,2,,,set()
far more assistance,1,,,set()
paper,1,,,set()
us,1,,,set()
high number,1,,,set()
stats,2,,,set()
stat,2,,,set()
netherlands,1,,,set()
year 2022,1,,,set()
last numbers,1,,,set()
heck,1,,,set()
"37,400",1,,,set()
apples,1,,,set()
bit apple,1,,,set()
unsheltered population,1,,,set()
orange,1,,,set()
678k,1,,,set()
oranges,1,,,set()
41k,1,,,set()
legally owned residence,1,,,set()
residence,1,,,set()
invented number,1,,,set()
"only 37,000",1,,,set()
impressive,1,,,set()
how few culturally relevant shows,1,,,set()
relevant show,1,,,set()
show,2,,,set()
budget,1,,,set()
time,1,,,set()
given time,1,,,set()
high viewership,1,,,set()
expectations,1,,,set()
expectation,1,,,set()
reaction,1,,,set()
original album,1,,,set()
spectoresque violent death,1,,,set()
opinion,1,,,set()
same reaction,1,,,set()
your opinion,1,,,set()
spectoresque violent death - wish flourish,1,,,set()
naked,1,,,set()
wish flourish,1,,,set()
paul 's stripped down remix,1,,,set()
remix,1,,,set()
paul,1,,,set()
50 %,1,,,set()
50 % recurring,1,,,set()
material,1,,,set()
recurring,1,,,set()
market,1,,,set()
subscribers,1,,,set()
total annual,1,,,set()
value,1,,,set()
recurring revenue,1,,,set()
material amount,1,,,set()
subscriber,1,,,set()
where near enough value,1,,,set()
8,1,,,set()
revenue,1,,,set()
annual,1,,,set()
noisy emotional distraction,1,,,set()
solution,1,,,set()
deep analysis,1,,,set()
blue check,1,,,set()
subscription,1,,,set()
grok,1,,,set()
subscriptions,1,,,set()
red herring,1,,,set()
its just a noisy emotional distraction,1,,,set()
blue checks,1,,,set()
britannia,2,,,set()
rome,1,,,set()
great aswell,1,,,set()
seal,1,,,set()
barbarians,2,,,set()
barbarian,2,,,set()
seals,1,,,set()
boring,1,,,set()
mind,1,,,set()
employer,1,,,set()
their employer,1,,,set()
proportion,1,,,set()
2/10,1,,,set()
6/10,1,,,set()
early prototypes,1,,,set()
himself,1,,,set()
little lamb,1,,,set()
phonograph,1,,,set()
little monsters,1,,,set()
women,1,,,set()
clip,1,,,set()
mary,1,,,set()
little monster,1,,,set()
early audio,1,,,set()
early prototype,1,,,set()
my research,1,,,set()
edison,1,,,set()
research,1,,,set()
voices,1,,,set()
fun,1,,,set()
press,1,,,set()
first,1,,,set()
radio gossip,1,,,set()
jason lee,1,,,set()
generation,1,,,set()
hymn,1,,,set()
great backstory,1,,,set()
great hymn,1,,,set()
generations,1,,,set()
heart attacks,1,,,set()
heart attack,1,,,set()
france,1,,,set()
datascience france opendata where,1,,,set()
datascience france opendata,1,,,set()
